,mu,omega
0,24.960347350133677,0.23091326506229617
1,24.96315884379345,0.24399329019001045
2,24.983262263632298,0.2983041998832425
3,24.98725326257927,0.261028731812448
4,24.99260063536014,0.27561763146893253
5,24.999289830379315,0.2994577237128622
6,24.992741205921874,0.2914008556641588
7,24.98954898361307,0.27936789519742694
8,24.990266407972094,0.27243537637702997
9,24.991721611015926,0.27549907118854017
10,25.004867795965986,0.3040580563098304
11,25.01316069864544,0.3024848110048482
12,25.025314719173032,0.30026697441533995
13,25.02662841877339,0.3062063605263411
14,25.014009798639485,0.28957888288707284
15,25.008226376759612,0.2643445089832113
16,25.00252827287472,0.2808414326467899
17,24.991506920177905,0.271398895862445
18,25.010667667900456,0.29328694667904764
19,25.013195225509882,0.28526916403443925
20,25.00117630693584,0.2906799805170382
21,25.00295605005234,0.28975448282711824
22,24.99544305638052,0.2788600956521903
23,24.98947240166271,0.26102892952389767
24,24.982136198983163,0.24987459650121313
25,25.004837355716276,0.288297326117816
26,24.99978591456476,0.292120628430166
27,24.994229732713094,0.281047108663945
28,25.00486828856315,0.2915467377794735
29,25.001653051480204,0.2853507751590484
30,24.99683572784477,0.2613715554266958
31,24.99224225391335,0.25524844864447904
32,25.0026212158961,0.277703105726798
33,25.00130048758555,0.30173910540557186
34,25.006548985511184,0.276137786026793
35,25.008515698282924,0.2982209835604574
36,25.014429986519033,0.3311841603253072
37,25.019225769476403,0.31806349002139966
38,25.01780844132232,0.2841220821018108
39,24.967250249831416,0.22430389357483974
40,24.972303095342987,0.21980582635594806
41,24.985910889859134,0.2445169845539198
42,24.991958186525203,0.27388935941711945
43,24.986563505030745,0.2764095073430288
44,24.990104417430828,0.28460755404047705
45,25.004051998630707,0.2613033222156665
46,24.994882631257532,0.27074108211620307
47,25.00662776152973,0.2957508404649911
48,25.00607704220638,0.2909177770027398
49,25.01020911741186,0.2703557828935415
50,24.99387890701523,0.28677243635696825
51,25.013657350293123,0.3074401628691466
52,24.99731942878403,0.27335838393820083
53,25.01216722198641,0.2877257782618107
54,25.00238673500808,0.28382291781714125
55,24.99175749301494,0.26711686585909045
56,25.00264691110832,0.2727990842742759
57,24.99279575314721,0.29839976234481885
58,25.0163829141292,0.336038865465064
59,25.02242060563875,0.29786033219039665
60,25.01143713218688,0.26898211857492516
61,24.99880229344279,0.2892201475256826
62,25.00785154903175,0.27295917999040076
63,25.001025268144748,0.26778782413800706
64,24.995245401260632,0.27600679824830243
65,25.002689710304463,0.25913872753635997
66,24.98603174151796,0.2729187111652998
67,25.0247421163791,0.3209920734225058
68,25.013819275073526,0.28994917932087727
69,25.012003897090946,0.3127744411851483
70,25.007482156988285,0.2863433631372298
71,24.999062028978003,0.2771085329805123
72,25.001886804448638,0.2929831668829739
73,25.00811294878579,0.3099091502989192
74,25.012332743776838,0.27991121672140473
75,24.987663172897626,0.2851858684068698
76,25.009905509367886,0.30932605924017975
77,25.001943097367036,0.2633540373531159
78,25.00393599369384,0.26735698523220514
79,25.015276601503896,0.3060899193149408
80,25.01202539433377,0.2709514794690291
81,25.0093372674601,0.2784970163230922
82,24.98969937721389,0.26894187461722663
83,24.999078306466338,0.30764340909610594
84,25.017973583584652,0.28235415533230096
85,25.00369712114153,0.27303566090973097
86,24.995487184636104,0.2858382378240866
87,24.997664776044918,0.2805656003467182
88,24.989035835071824,0.27677427039167113
89,24.991124447247426,0.24945001880037654
90,24.98817695821733,0.2805697915163143
91,25.01837333716671,0.2990806648298246
92,25.004256375333853,0.31332085677054594
93,24.9900082872852,0.23916779631770568
94,24.97484381072471,0.26339869488307627
95,25.0063716966313,0.2508379362089851
96,24.99289820565512,0.25989027711912166
97,25.00410904924055,0.277475914688648
98,24.98663775046452,0.2619422872531082
99,24.990933922404448,0.2714449589112376
100,24.99696869822819,0.27009901230519134
101,25.00418933278719,0.286905463323584
102,25.001929112996987,0.2595551708026084
103,24.99243275631732,0.2627734664286905
104,25.017221376900256,0.2930810714422769
105,25.005323945807035,0.2963485794327878
106,25.008331178365577,0.302437243629331
107,24.99156711042583,0.2542047642001155
108,25.002313795679232,0.2890574975465658
109,25.003368681042996,0.2895020540353661
110,24.988748406086348,0.26426438784272666
111,25.004255688201198,0.26523388618451055
112,24.992065721955882,0.2590283849283186
113,24.99039562287599,0.25376437923144735
114,24.988547118068478,0.2647974464032002
115,25.001182998016038,0.2836742625379612
116,25.012775953573612,0.2702528815972868
117,24.97454675066286,0.2421736242062315
118,25.00660415091228,0.2533656769091967
119,25.00696558655794,0.25370036819131875
120,25.003632170549736,0.29594972954815474
121,25.007867392166144,0.2680826839090905
122,24.99937604851505,0.28952955965386207
123,25.00032829045737,0.279528669972005
124,24.982992298385014,0.257182757926135
125,24.981799342289072,0.24877979230462627
126,24.982032679795225,0.24984573917324313
127,25.019206677139497,0.27734088748354024
128,24.972440338879743,0.24681235038983937
129,24.974556528553304,0.2670188826604779
130,24.993777148963005,0.25257240081057364
131,25.000755036400747,0.2669375739238478
132,24.97525087923068,0.2304740316365837
133,24.993771532931873,0.24529937452221984
134,24.989750139344686,0.25863019952020533
135,24.995733170000026,0.2610914665305385
136,24.984496629604806,0.2565545678270322
137,25.002064385052385,0.2659064229904949
138,25.010946339493472,0.2785204180324758
139,25.01564975504784,0.2846015765438917
140,24.996266350544236,0.2612877483813757
141,25.00670270687249,0.2943825135120185
142,24.999205336547735,0.28356743213462077
143,25.007109758871415,0.26937874500876696
144,24.982838310093857,0.25674704705098145
145,24.989273425596885,0.26775967288784214
146,24.989439796811105,0.24525315895527544
